park_id,name,address,district,latitude,longitude
tdstt100,Hoi Wah Road (II) Car Park,"Hoi Wah Road, Area 16, Tuen Mun, New Territories",Tuen Mun,22.3814211,113.9739293
tdstt127,Hoi Yu Street (GOLDWAY PARKING LIMITED),"Hoi Yu Street, Quarry Bay, Hong Kong",Eastern,22.2901307,114.2147027
tdc14p8424,Homantin Car Park,"Homantin Plaza, 80 Fat Kwong Street, Ho Man Tin, Kowloon",Kowloon City,22.3152033,114.1818457
tdc14p4336,Hong Keung Car Park,"Hong Keung Court Car Park, 23 Heng Lam Street, Wang Tau Hom,  Kowloon",Wong Tai Sin,22.337244,114.1900101
tdc139p1,Hong King Garden Parking,"No.26 Tsing Sin Street, Tuen Mun",Tuen Mun,22.385481,113.9799925
tdc117p1,Hong Kong Palace Museum Car Park,"8 Museum Drive, HKPM, WKCD, Kowloon, Hong Kong",Yau Tsim Mong,22.3015927,114.1555426
tdc38p1,Hong Kong Tennis Centre,"133, Wong Nai Chung Gap Road, Wan Chai, Hong Kong",Wan Chai,22.2597865,114.1921868
tdc15p1,Hong Kong-Zhuhai-Macao Bridge Hong Kong Port car park 1,"Hong Kong-Zhuhai-Macao Bridge Hong Kong Port, Lantau Island, Hong Kong",Islands,22.3165242,113.9524538
tdc15p3,Hong Kong-Zhuhai-Macao Bridge Hong Kong Port car park 3,"Hong Kong-Zhuhai-Macao Bridge Hong Kong Port, Lantau Island, Hong Kong",Islands,22.3148252,113.9531751
tdc53p3,Hong Ning Road Park,"Junction between Hong Ning Road and Wo Hong Path, Kwun Tong, KL",Kwun Tong,22.3203678,114.2246018
93,Hong Ning Road Park Car Park,"Junction of Hong Ning Road and Wo Hong Path, Kwun Tong, KLN",Kwun Tong District,22.320701,114.2247784
tdc14p3431,Hong Pak Car Park,"Hong Pak Court Retail and Car Park, 139 Pik Wan Road, Lam Tin, Kwun Tong, Kowloon",Kwun Tong,22.302487,114.239156
tdc14p3432,Hong Shui Car Park,"Hong Shui Court Retail and Car Park, 133 Pik Wan Road, Lam Tin, Kwun Tong, Kowloon",Kwun Tong,22.301579,114.24035
tdc14p3445,Hong Yat Car Park,"Hong Yat Court Retail and Car Park, 1 Tak Tin Street, Lam Tin, Kwun Tong, Kowloon",Kwun Tong,22.310441,114.23449
tdc6p17,Hung Fuk Estate Carpark,"Hung Fuk Shopping Centre Management Office, G/F, Ancillary Facilities Block, Hung Fuk Estate, Hung Shui Kiu, Yuen Long",Yuen Long,22.4373486,113.9986968
tdc14p8426,Hung Hom Car Park,"Hung Hom Estate Retail and Car Park, 9 Dyer Avenue, Hung Hom, Kowloon",Kowloon City,22.3074135,114.1886405
tdc140p1,Hung Hom Estate Phase II Carpark,"HUNG HOM ESTATE PHASE II CARPARK, 28 DAI  WAN ROAD, HUNG HOM, KOWLOON",Kowloon City,22.3080424,114.1895503
tdc51p2,Island East Sports Centre,"52 Lei King Road, Sai Wan Ho, Hong Kong",Eastern,22.2848702,114.2223587
tdc33p2,Jordan Valley Playground,"18 Choi Ha Road, Ngau Tau Kok",Kwun Tong,22.3250738,114.2190872
tdc53p2,Jordan Valley Swimming Pool,"6 Choi Ha Rd, Ngau Tau Kok",Kwun Tong,22.3235931,114.2182846
tdstt33,Junction of Oi Yee Street and Hing Man Street,"Junction of Oi Yee Street and Hing Man Street, Shau Kei Wan",Eastern,22.2815263,114.2236314
tdstt32,Junction of Tai Chung Kiu Road and On Sum Street,"Junction of Tai Chung Kiu Road and On Sum Street, Sha Tin, New Territories",Sha Tin,22.3928544,114.208165
tdc14p3202,Ka Tin Car Park,"Ka Tin Court Car Park, 2-8 Hin Tin Street, Tai Wai,  Sha Tin, New Territories",Sha Tin,22.3602524,114.1733704
117,Kai Ching Estate Car Park,"12 Muk Hung Street, Kowloon City, KLN",Kowloon City District,22.3315089,114.2027843
tdc93p1,Kai Ching Estate Car Park,"Kai Ching Estate, No.12 Muk Hung Street, Kowloon City, Kowloon",Kowloon City,22.3319782,114.2027626
tdc14p3441,Kai Tin Car Park A,"Kai Tin Shopping Centre, 50 Kai Tin Road, Lam Tin, Kwun Tong, Kowloon",Kwun Tong,22.3072537,114.235424
tdc14p3554,Kai Tin Car Park B,"Kai Tin Shopping Centre, 50 Kai Tin Road, Lam Tin, Kwun Tong, Kowloon",Kwun Tong,22.3089861,114.2343682
tdc8p15,Kam Sheung Road Station Car Park,"No. 29 Kam Ho Road, Kam Tin, Yuen Long, New Territories.",Yuen Long,22.4343472,114.0628808
tdcp7,Kennedy Town Car Park,"12 Rock Hill Street, Kennedy Town, Hong Kong",Central & Western,22.2817896,114.1289778
tdc14p1006,Kin Ming Car Park A,"Kin Ming Estate Car Park, 1 Choi Ming Street, Tiu Keng Leng, Tseung Kwan O, New Territories",Sai Kung,22.306028,114.251108
tdc14p8900,Kin Ming Car Park B,"Kin Ming Estate Car Park, 1 Choi Ming Street, Tiu Keng Leng, Tseung Kwan O, New Territories",Sai Kung,22.3063873,114.2501818
tdc14p3519,Kin Sang Car Park,"Kin Sang Shopping Centre, 3 Leung Wan Street, Tuen Mun, New Territories",Tuen Mun,22.407139,113.969919
tdc14p7646,King Lai Car Park,"King Lai Court Car Park, 36 - 38 Fung Shing Street, Wong Tai Sin,  Kowloon",Wong Tai Sin,22.3414021,114.2106857
tdc247p1,King Shan Court Car Park,32 Fung Shing St,Wong Tai Sin,22.3417317,114.2098078
77,Kingston International Center,"19 Wang Chiu Road, Kowloon Bay, KLN",Kwun Tong District,22.3236155,114.2092492
tdc108p1,Kingston International Centre,"19 Wang Chiu Road, Kowloon Bay",Kwun Tong,22.323615,114.2092785
tdc242p1,Ko Cheung Court Car Park,"No.32 Ko Chiu Road, Yau Tong, Kowloon",Kwun Tong,22.2963205,114.2404502
tdc14p3433,Ko Chun Car Park,"Ko Chun Court Retail and Car Park, 23 Ko Chiu Road, Yau Tong, Kwun Tong, Kowloon",Kwun Tong,22.2980179,114.2422313
tdc236p1,Ko Shan Road Public Vehicle Parking,"Lower Ground Floor, 60, Ko Shan Road, To Kwa Wan",Kowloon City,22.3138157,114.1867739
tdc33p1,Kowloon Bay Park,"11 Kai Lai Road, Kowloon Bay",Kwun Tong,22.3272324,114.207161
tdc74p10,Kowloon Bay Sports Ground A,"No. 1 Kai Lok Street, Kowloon Bay",Kwun Tong,22.3264784,114.2091206
tdc74p11,Kowloon Bay Sports Ground B,"No. 1 Kai Lok Street, Kowloon Bay",Kwun Tong,22.3265962,114.210459
tdc177p1,KTR350 Car Park,"350 Kwun Tong Road, Kwun Tong, Kowloon",Kwun Tong,22.315039,114.2180003
123,KTR350 Car Park,"KWUN TONG ROAD 350, Kwun Tong, KLN",Kwun Tong District,22.3150437,114.2179817
